1,1.104,1323476756,user_group-1,1.095344,,{'Example_Timer': 1.0951567505033253}
2,1.142,1323476756,user_group-1,1.131752,,{'Example_Timer': 1.1316356627941762}
3,1.146,1323476756,user_group-2,1.135178,,{'Example_Timer': 1.1350580935893522}
4,1.227,1323476756,user_group-2,1.217962,,{'Example_Timer': 1.217809170524916}
5,1.615,1323476756,user_group-2,1.604454,,{'Example_Timer': 1.604344248318855}
6,1.841,1323476757,user_group-1,1.829873,,{'Example_Timer': 1.8297800423915231}
7,2.255,1323476757,user_group-2,1.107302,,{'Example_Timer': 1.1072590595458622}
8,2.349,1323476757,user_group-2,1.121322,,{'Example_Timer': 1.1212053050887425}
9,2.746,1323476758,user_group-1,1.603635,,{'Example_Timer': 1.6035758676527285}
10,3.021,1323476758,user_group-1,1.916201,,{'Example_Timer': 1.916213961721212}
11,3.332,1323476758,user_group-2,1.717542,,{'Example_Timer': 1.7173911229106948}
12,3.764,1323476759,user_group-1,1.923280,,{'Example_Timer': 1.9230946266784326}
13,3.892,1323476759,user_group-2,1.637262,,{'Example_Timer': 1.6371215725494839}
14,4.086,1323476759,user_group-2,1.737229,,{'Example_Timer': 1.7371313734627398}
15,4.588,1323476759,user_group-1,1.566652,,{'Example_Timer': 1.5665306201855658}
16,4.684,1323476760,user_group-1,1.937642,,{'Example_Timer': 1.9374984149059915}
17,5.058,1323476760,user_group-2,1.725197,,{'Example_Timer': 1.7251841461354547}
18,5.365,1323476760,user_group-1,1.600810,,{'Example_Timer': 1.6006191980816928}
19,5.472,1323476760,user_group-2,1.579100,,{'Example_Timer': 1.5790407900206058}
20,5.604,1323476760,user_group-2,1.517052,,{'Example_Timer': 1.5169777393551944}
21,5.744,1323476761,user_group-1,1.155553,,{'Example_Timer': 1.1554925231901136}
22,6.007,1323476761,user_group-1,1.322625,,{'Example_Timer': 1.3225500302624578}
23,6.065,1323476761,user_group-2,1.007046,,{'Example_Timer': 1.0069185289201563}
24,6.487,1323476761,user_group-1,1.121506,,{'Example_Timer': 1.121410446342057}
25,6.820,1323476762,user_group-2,1.347890,,{'Example_Timer': 1.3477177099814672}
26,6.876,1323476762,user_group-2,1.272173,,{'Example_Timer': 1.272026231513658}
27,6.884,1323476762,user_group-1,1.139833,,{'Example_Timer': 1.1396618787541457}
28,7.166,1323476762,user_group-2,1.101355,,{'Example_Timer': 1.1012118759821838}
29,7.758,1323476763,user_group-1,1.751360,,{'Example_Timer': 1.7512477613247839}
30,7.946,1323476763,user_group-2,1.069550,,{'Example_Timer': 1.0693295825050613}
31,7.964,1323476763,user_group-1,1.477293,,{'Example_Timer': 1.477091206682636}
32,8.314,1323476763,user_group-1,1.430486,,{'Example_Timer': 1.4304251434079567}
33,8.326,1323476763,user_group-2,1.159856,,{'Example_Timer': 1.1598206641691098}
34,8.543,1323476763,user_group-2,1.722514,,{'Example_Timer': 1.722453215794419}
35,9.034,1323476764,user_group-1,1.275463,,{'Example_Timer': 1.275238008509038}
36,9.321,1323476764,user_group-1,1.356010,,{'Example_Timer': 1.3558155708313662}
37,9.509,1323476764,user_group-1,1.194552,,{'Example_Timer': 1.1944643335616596}
38,9.613,1323476764,user_group-2,1.070653,,{'Example_Timer': 1.070495541539261}
39,9.674,1323476765,user_group-2,1.727988,,{'Example_Timer': 1.727886626825705}
40,9.765,1323476765,user_group-2,1.438872,,{'Example_Timer': 1.438747251506947}
41,10.555,1323476765,user_group-1,1.520835,,{'Example_Timer': 1.5207369985850538}
42,10.561,1323476765,user_group-1,1.239810,,{'Example_Timer': 1.2397541588235632}
43,10.597,1323476765,user_group-1,1.087849,,{'Example_Timer': 1.0877283385498302}
44,10.907,1323476766,user_group-2,1.233098,,{'Example_Timer': 1.2329943659809048}
45,11.594,1323476766,user_group-2,1.980104,,{'Example_Timer': 1.979968887024548}
